participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started,,
58950,22,74,ambiguous,clear_in,clear_ex,clear_ex,Not Guilty,"Ms. Garcia's Dna was found on the door handle of the emergency exit.
 Security cameras captured Ms. Garcia walking with a baby in her arms.
A collegue stated that she saw Ms. Garcia visiting a patient when they were notified of the missing baby
 A personal friend of Ms. Garcia testified that she is a truthful person.",227.7428128,,,119.6953991,,,1,,48,313.2369981,296.699166,,,,,,,,,,,,,343.2456244,564.5501684,343.2334531,0,0,0,6,,,,,,,,,,,,,,,E,0.0429244,0.0428782,2023.2.3,,,,,,2026-03-10 14h52.46.288293 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-03-10_14h52.37.016,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,8.2849189,8.2849245,TRUE,,,,,0,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,0.0614733,0.0614121,343.2334462,313.2370064,585.2809609,564.5502755,296.699153,227.7185246,227.7137951,199.02663,199.0266211,141.7918751,141.7748003,133.4830187,,
58950,20,92,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,"A lady who was behind a costumer in line thought that she saw Ms.Clarke bagging items but did't believe all of them were rung up before being placed in the bags.
 Out of the multitude of finger prints found on the recalled items, none of them belonged to Mds. Clarke.
 Ms. Clarke's priest stated that she is a represntation of honesty with in their church's community.
 The security camera's saws Ms. Clarke bagging but not with out pressing the keys on the registers first.",585.3119298,,,119.6953991,,,,,0,682.4060224,675.9976708,,,,,,,,,,,,,712.4109516,938.1686552,712.4026549,1,0,1,5,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-03-10 14h52.46.288293 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-03-10_14h52.37.016,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,0,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,712.4026469,682.4060309,956.2003867,938.1687259,675.9976586,585.2812167,,,,,,,
58950,24,71,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,"Ms. Franklin's computer had meticulous records of her two legitimate businesses, as well as her personal tax records and morgages, but nothing connected to the fake business.
 Ms. Franklin's employer says that she is an honest person.
 An employee of an insurance company in the same building as the fake company says he never saw Ms. Franklin in the building.
 Ms. Franklin's finger prints were found on a return notice from the fake company.",956.2272282,,,119.6953991,,,,,13,1023.77872,1022.45394,,,,,,,,,,,,,1053.78362,1214.9491,1053.775064,2,0,2,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-03-10 14h52.46.288293 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-03-10_14h52.37.016,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,0,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,1053.775057,1023.778729,1224.283295,1214.94919,1022.453928,956.2005845,,,,,,,,
58950,6,100,clear_in,clear_in,clear_ex,clear_in,Guilty,"Ms. Mitchel's former imployer says, in his opinion, that she is known for theft.
 Ms. Mitchel's apartment had a Target receit from around the same time as the theft, with purcahses of raisin bread, peanut butter, and chocolate milk.
 Ms. Mitchel's finger prints were found on the torn up tags found in the dressing room.
 A casheir said Ms. Mitchel wasn't the person who purchased the peanut butter, raisin bread, and chocolate.",1224.306905,,,119.6953991,,,,,100,1275.895807,1270.587229,,,,,,,,,,,,,1305.896175,1465.685698,1305.888176,3,0,3,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,2026-03-10 14h52.46.288293 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-03-10_14h52.37.016,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,0,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,1305.888167,1275.89582,1482.113682,1465.685771,1270.587217,1224.283485,,,,,,,,
58950,18,51,clear_in,clear_ex,clear_in,clear_in,Not Guilty,"Defendant has felonies for previously selling false identification.
 Defendant doesn't have evidence on hin cell phone or personal computer that show video calls, emails, or messages to Mexico.
 A woman identified defendant as a person handing a letter to a 16-passanger van that was human trafficking.
A soda can was found with defendant's finger prints that was droped at a rest stop where there had been human trafficking as a cop pulled up.",1482.144715,,,119.6953991,,,,,61,1559.113175,1535.779452,,,,,,,,,,,,,1589.114031,1781.249271,1589.105945,4,0,4,3,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-03-10 14h52.46.288293 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-03-10_14h52.37.016,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,0,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,1589.105938,1559.113183,1794.084974,1781.249342,1535.779442,1482.113895,,,,,,,,
58950,14,71,clear_ex,ambiguous,clear_in,clear_in,Not Guilty,"Mr. Jackson sold his boat for 43,000 dollars three weeks before the zoning out.
Finger prints under the flap of a bribing envelope did not match that of Mr. Jackson.
A clerck saw someone who she later identified as Mr. Jackson hand an envelope that was the same as the bribing envelope to an election official.
Mr. Jackson had been previously convicted of failing to pay his taxes.",1794.107959,,,119.6953991,,,,,67,1843.81819,1842.672792,,,,,,,,,,,,,1873.822909,2022.816127,1873.81448,5,0,5,2,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-03-10 14h52.46.288293 -0700,JurorPsychopyTest,,,,,,,,,????,2026-03-10_14h52.37.016,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,0,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,1873.814473,1843.818199,2043.05756,2022.81622,1842.672779,1794.08517,,,,,,,,
58950,19,71,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,"Defendant is classified as non -violent
A woman in the party said she saw a person in a window with a gun in the house across from the defendants.
911 operators received a call from defendants address with someone saying If you don't do something about the party I will""
The bullet casings found in the neighbors yard do not match that of the test-fired bullets from defendant's only gun.""",2043.083267,,,119.6953991,,,,,0,2089.851424,2088.564685,,,,,,,,,,,,,2119.856706,2271.896872,2119.843723,6,0,6,4,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-03-10 14h52.46.288293 -0700,JurorPsychopyTest,,,,,,,,,???,2026-03-10_14h52.37.016,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,0,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,2119.843716,2089.851433,2282.11832,2271.896944,2088.564673,2043.05776,,,,,,,,
58950,28,76,clear_ex,clear_in,clear_in,clear_in,Guilty,"A receipt for a 5-gallon gas can was found in Mr. Farooqui's home which was the same can found at the scene of the fire
Mr. Farooqui's previous employer says that in his opinion mr. Farooqui is not a law-abiding citiizen
An eyewittness saw a man who she later identified as Mr. Farooqui carrying a gas can near the scene of the fire.
There were no finger prints that matched Mr. Farooqui's at the scene of the fire.
",2282.13672,,,119.6953991,,,,,86,2331.922554,2330.722491,,,,,,,,,,,,,2361.927084,2526.987919,2361.918736,7,0,7,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-03-10 14h52.46.288293 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-03-10_14h52.37.016,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,0,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,2361.918728,2331.922562,2538.135699,2526.988026,2330.722477,2282.118504,,,,,,,,
58950,30,68,clear_in,clear_ex,ambiguous,clear_in,Not Guilty,"Selfies from Mr. Juval's phone show that he was at a wine bar 2 miles away from when the SUV drove on the sidewalk.
A palm print on the side of the SUV's door was identified to be Mr. Juval's. 
A man who was hit by the SUV said that the driver might have been Mr. Juval but it could have been someone else.
A neighbor said Mr. Juval had previously threatened workers in his neighborhood.",2538.15787,,,119.6953991,,,,,19,2586.885279,2586.110314,,,,,,,,,,,,,2616.885935,2767.147512,2616.877445,8,0,8,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-03-10 14h52.46.288293 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-03-10_14h52.37.016,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,0,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,2616.877437,2586.885286,2777.389403,2767.147594,2586.110299,2538.135894,,,,,,,,
58950,2,83,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,"Security camera's show Ms. armstrong going into the dressing room with the dress then exiting and hanging it up on the rack.
A store clerk who was in the dressing room at the time said she heard the sound of scissors and identified Ms. Armstrong as the woman who had the scissors.
Ms. Armstrong's minister said that she had a good reputation among her fellow peers.
The smuged fingerprints on the scissors cound not be match or exclude Ms. Armstrong",2777.416158,,,119.6953991,,,,,0,2824.218248,2823.605837,,,,,,,,,,,,,2854.218923,3012.733198,2854.210676,9,0,9,0,,,,,,,,,,,,,,,M3 ,,,2023.2.3,,,,,,2026-03-10 14h52.46.288293 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-03-10_14h52.37.016,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,0,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,2854.210669,2824.218256,3019.302788,3012.733268,2823.605825,2777.389598,,,,,,,,
