participant,rank,realrate.response,thisN,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqTrials.vviqResponse.response,vviqResponse.response,trials.verdict.response,trials.realrate.response,trials.casestrength.response,surpriseTestLoopSmall.evidenceUsedResponse.rt,surpriseTestLoopSmall.evidenceUsedResponse.response,surpriseTestLoopSmall.confidenceLevel.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consentInfiniteLoop.consented_button.numClicks,confidenceLevel.response,casestrength.response,witnessInc,witnessExc,witnessAmb,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.responseTextBox.text,thisTrialN,thisRepN,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,–,physicalExc,physicalAmb,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,documentInc,documentExc,documentAmb,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,consentInfiniteLoop.consented_button.timesOn,consentInfiniteLoop.consented_button.timesOff,condition,characterVirtue,characterInc,characterExc,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
83890,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0610147,0.0609637,2024.2.4,,,,,,,,,2026-04-09 14h00.19.449944 -0600,JurorPsychopyTest,,,,,,,,,,,,,2026-04-09_13h59.59.602,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
83890,31,,5,,,,,,,104.1980896,,,,,,,,,,60,,,1,,,A hotel housekeeper saw a man she later identified as Mr. Watson walking near the shooter’s room carrying a long equipment case.,"A hotel housekeeper saw a man in the hall near the shooter’s room carrying a long equipment case, but said that he did not look like Mr. Watson. ",A hotel housekeeper saw someone she said looked a little like Mr. Watson in the hall near the shooter’s room carrying a long equipment case. ,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,,,,,,,,,,,,A,,,2024.2.4,Markings on shell casings recovered from the hotel room match those test-fired with a rifle from Mr. Watson’s home.,Markings on shell casings recovered from the hotel room do not match those test-fired with the rifle found in Mr. Watson’s home.,Sales records at the gun store used by Mr. Watson show he bought rifle cartridges but do not specify the caliber or manufacturer.,,,,,,2026-04-09 14h00.19.449944 -0600,JurorPsychopyTest,30,0,30,30,,,,,Pate,The username and password used to book the shooter’s hotel room were later found on Mr. Watson’s personal computer.,The history on Mr. Watson's personal computer and Instagram account show that he posted a series of family photos and placed an order on Amazon over a 2- hour period that included the shooting.,The history on Mr. Watson’s computer includes a search for downtown concerts and events and for hotels in their vicinity. ,2026-04-09_13h59.59.602,,,Homicide,Firing a gun into a public event and killing five people.,Murder 1st - 5 counts,TRUE,0,5,5,0,5.1787786,5.1787817,0,Propensity,Mr. Watson's former girlfriend says in her opinion he is a violent man.,The owner of a local gun range testifies that Mr. Watson is well regarded as a responsible gun owner with a reputation for non-violence.,"Axel Watson is charged with firing multiple rounds from assault rifles into a crowded downtown crafts festival and concert. The Prosecution alleges Mr. Watson used a false identity online to book a fourth-floor hotel room, checked in, waited for the park below his window to fill up, and then fired from his window, killing five and wounding four others.",0.089135,0.0891207,,,,,,,,,136.2904994,109.3774966,109.3774353,104.183861
83890,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.2.4,,,,,,,,,2026-04-09 14h00.19.449944 -0600,JurorPsychopyTest,,,,,,,,,,,,,2026-04-09_13h59.59.602,,,,,,,,,,,,,0,,,,,,,,,,,,,185.994781,136.2905587,,,,
83890,24,100,0,clear_in,clear_ex,clear_ex,clear_ex,Guilty,"The women was found to be telling people that if they refinanced their house they would be able to save a lot of money, and after a long period of time the people in which did so had gave almost 3 million dollars to this fake company."" The people in an actual office next to the fake company never saw the woman in her office and her computer was never tied to anything related to this fake company. Her employer stated that she was a very honest women but the only thing that was found was her fingerprints on a collected tax document from the fake company. """,186.0280058,,,Guilty,100,60,,,,,60,,,,,60,"A print-shop employee identified Ms. Franklin from a lineup as the person who picked up business cards with the fake company’s logo, name, and address. ","An insurance agent in the same building as the fake company saw several people in the fake company’s office, but never Ms. Franklin. ",An insurance agent in the same building as the fake company saw someone who “might or might not” have been Ms. Franklin going into the fake company. ,250.1171717,235.543197,,,,,,,,,,,,,280.1150452,445.4280466,280.1027596,0,0,0,7,"The women was found to be telling people that if they refinanced their house they would be able to save a lot of money, and after a long period of time the people in which did so had gave almost 3 million dollars to this fake company."" The people in an actual office next to the fake company never saw the woman in her office and her computer was never tied to anything related to this fake company. Her employer stated that she was a very honest women but the only thing that was found was her fingerprints on a collected tax document from the fake company. """,0,0,,,,,,,,,,,,,,,C,,,2024.2.4,Ms. Franklin’s fingerprint was found on a collection notice from the fake company.,An expert testified that fingerprints on collection notices from the fake company are not Ms. Franklin’s. ,"The FBI data bank identified ten people, including Ms. Franklin, with prints that could match those on the fake company’s collection notices and letterhead mailed to the victims. ",,,,,,2026-04-09 14h00.19.449944 -0600,JurorPsychopyTest,,,,,,,,,Pate,"Ms. Franklin’s computer contained spreadsheets with names, mortgage policy numbers, and payment records of 20 of the defrauded homeowners. ","Ms. Franklin’s computer contained meticulous records for two legitimate businesses she owns, plus her personal budget and tax records, but nothing connected to the fake company. ","Ms. Franklin’s laptop shows a Google search for records of foreclosure notices, along with her bank statements showing donations of $100 every month to homeless shelters.",2026-04-09_13h59.59.602,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,0,Propensity,Ms. Franklin's former roommate says in her opinion Ms. Franklin is not an honest person.,Ms. Franklin's employer says in his opinion Ms. Franklin is an honest person.,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,280.1023793,250.1175477,473.8367025,445.429341,235.5431335,186.0132227,,,,,,
83890,19,54,1,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,"Michael Anderson was accused of firing a bullets into a window of a party in which injured two people because of a broken bottle that was shattered. That night, 911 dispatch had a call from Michael explaining that if the cops did not do anything about the party he would, but during this night a woman at the party saw someone with a firearm at an open window that was across the street from Anderson's house. Neighbors claimed that Michael was a non-violent person, and the bullets in which were test fired from the only gun Michael owned did not match those of the ones that were in the lawn of the party that this incident occurred at. 
",473.8770832,,,Not Guilty,54,12,,,,,60,,,,,12,A woman at the party says she saw someone she later identified as Mr. Anderson shooting from a window in his house.,A woman at the party says she saw someone with a gun at an open window in a house across the street from Mr. Anderson’s house.,An eyewitness says she could not tell whether the shots came from Mr. Anderson’s house or the house across the street. ,565.7388957,561.283392,,,,,,,,,,,,,595.7308718,761.2508195,595.7229794,1,0,1,4,"Michael Anderson was accused of firing a bullets into a window of a party in which injured two people because of a broken bottle that was shattered. That night, 911 dispatch had a call from Michael explaining that if the cops did not do anything about the party he would, but during this night a woman at the party saw someone with a firearm at an open window that was across the street from Anderson's house. Neighbors claimed that Michael was a non-violent person, and the bullets in which were test fired from the only gun Michael owned did not match those of the ones that were in the lawn of the party that this incident occurred at. 
",1,0,,,,,,,,,,,,,,,E,,,2024.2.4,Markings on bullets recovered from the neighbor’s yard match bullets test-fired from Mr. Anderson’s gun.,Markings on bullets in the neighbor’s yard do not match bullets test-fired from Mr. Anderson’s only gun.,"Markings on bullets later found in in the neighbor’s yard are the same caliber as a gun owned by Mr. Anderson, but the bullets were too damaged for a definite match.",,,,,,2026-04-09 14h00.19.449944 -0600,JurorPsychopyTest,,,,,,,,,???,"911 recorded a caller from Mr. Anderson’s phone telling the operator, “If you don’t do something about the party, I will.”","911 recorded a caller from a different neighbor’s phone telling the operator, “If you don’t do something about the party, I will.”","911 recorded a call from a phone with no caller ID, telling the operator, “If you don’t do something about his party, I will.”",2026-04-09_13h59.59.602,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,0,Propensity,A neighbor testified that Mr. Anderson has a reputation for being violent.,A neighbor testified that Mr. Anderson has a reputation for non-violence.,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,595.7227869,565.73895,774.972665,761.2517414,561.2833263,473.8570866,,,,,,
83890,20,52,2,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,"The woman was accused of free bagging in which she was bagging items that had not been rung up and getting paid. A customer in the past recalled a time in which she saw Mrs. Clark bag items for a person before her in which had not all been rung up, but the incident of Mrs. Clark free bagging was never caught on security footage. In addition, an expert tested for fingerprints on all of the recalled items that may have been freebagged, and none of them matched up to Mrs. Clark. Her priest also dictated that she was a very honest woman. ",774.9963225,,,Not Guilty,52,25,,,,,60,,,,,25,A store customer remembers Ms. Clarke putting items in a bag for the customer before her and thinks that not all the items were rung up.,A store customer remembers a store employee other than Ms. Clarke putting items in a bag for a customer without ringing them up.,A store customer remembers a store employee putting items in a bag for a customer without ringing them up but cannot be sure whether the employee was Ms. Clarke.,927.4436032,926.4942693,,,,,,,,,,,,,957.4400384,1109.430626,957.4281247,2,0,2,5,"The woman was accused of free bagging in which she was bagging items that had not been rung up and getting paid. A customer in the past recalled a time in which she saw Mrs. Clark bag items for a person before her in which had not all been rung up, but the incident of Mrs. Clark free bagging was never caught on security footage. In addition, an expert tested for fingerprints on all of the recalled items that may have been freebagged, and none of them matched up to Mrs. Clark. Her priest also dictated that she was a very honest woman. ",2,0,,,,,,,,,,,,,,,C,,,2024.2.4,An fingerprint expert testified that Ms. Clarke’s fingerprints were among those found on the the recovered items,"An expert testified that of the many fingerprints on the recovered items, none were Ms. Clarke’s.","A fingerprint expert testified that of the many fingerprints on the recovered items, only one partial print could be Ms. Clarke's but it was too smudged to provide a certain match.",,,,,,2026-04-09 14h00.19.449944 -0600,JurorPsychopyTest,,,,,,,,,Don,A store security camera video shows Ms. Clarke repeatedly bagging items for the same two customers so quickly that ringing them up would have been difficult.,A store security camera video shows no obvious evidence of Ms. Clarke bagging any items without first hitting keys on the register. ,A store security camera shows an employee who cannot be identified from the video freebagging items on a register on the floor where Ms. Clarke worked.,2026-04-09_13h59.59.602,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,0,Propensity,Ms. Clarke’s neighbor says she has a poor reputation for honesty in the neighborhood.,Ms. Clarke’s priest says she has an excellent reputation for honesty among the church community.,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,957.4275292,927.4436534,1120.919245,1109.431542,926.4941857,774.982907,,,,,
83890,2,65,3,ambiguous,clear_ex,clear_in,clear_ex,Guilty,"Wendy was accused of concealing merchandise in a fancy department store in which she would cut off anti-theft tags in fiting rooms, as well as being accused of hiding a 1,200 dollar dress in a side bag in which she carried into work. The evidence provided shows a time in which Wendy was seen going into the fitting room with the dress, but then later hanging it back onto the rack in which it came from and an expert was not able to identify if the fingerprints on scissors found in the fitting room belonged to Wendy or not. Wendy's minister provided that she was a very trustworthy woman, but a dress clerk said she identified Wendy as being the woman who she said cutting off the anti-theft tags in the fitting room. ",1120.951915,,,Guilty,65,49,,,,,60,,,,,49,"A store clerk in women's dresses says she heard the sound of scissors from a dressing room, and identified Mrs. Armstrong as the woman who came out of that dressing room. ","A store clerk in women's dresses says she heard the sound of scissors from a dressing room, and that Mrs. Armstrong was not the woman who came out of that dressing room. ","A store clerk in women's dresses says she heard the sound of scissors from a dressing room, but could not say for sure whether Mrs. Armstrong was the woman who came out of the dressing room. ",1211.612936,1211.020354,,,,,,,,,,,,,1241.613689,1387.741573,1241.601327,3,0,3,0,"Wendy was accused of concealing merchandise in a fancy department store in which she would cut off anti-theft tags in fiting rooms, as well as being accused of hiding a 1,200 dollar dress in a side bag in which she carried into work. The evidence provided shows a time in which Wendy was seen going into the fitting room with the dress, but then later hanging it back onto the rack in which it came from and an expert was not able to identify if the fingerprints on scissors found in the fitting room belonged to Wendy or not. Wendy's minister provided that she was a very trustworthy woman, but a dress clerk said she identified Wendy as being the woman who she said cutting off the anti-theft tags in the fitting room. ",3,0,,,,,,,,,,,,,,,M3 ,,,2024.2.4,An investigator testified Mrs. Armstrong’s fingerprints were on a pair of scissors left in a fitting room alongside cut-off theft prevention tags from the dress. ,An investigator testified that fingerprints found on scissors left in a fitting room alongside cut-off theft prevention tags from the dress were not Mrs. Armstrong’s.,An investigator testified that smudged fingerprints found on scissors left in a fitting room alongside cut-off theft prevention tags cannot be said to either match or exclude Mrs. Armstrong.,,,,,,2026-04-09 14h00.19.449944 -0600,JurorPsychopyTest,,,,,,,,,Artemis,A video from the department shows Mrs. Armstrong going into the fitting room with the dress and coming out without it. ,A video from the department store shows Mrs. Armstrong going into the fitting room with the dress and later leaving and hanging it back on a rack. ,"A video from the department store shows Mrs. Armstrong walking into the fitting room with several dresses and coming out with fewer dresses, but the dress she is accused of concealing is not visible in the video.",2026-04-09_13h59.59.602,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,0,Truthfulness,Mrs. Armstrong's former employer testifies she had a poor reputation for truthfulness in her workplace.,Mrs. Armstrong's minister testifies she has an excellent reputation for truthfulness among her fellow parishioners.,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,1241.60115,1211.612988,1408.596352,1387.742478,1211.020267,1120.930806,,,,,,
83890,18,100,4,clear_in,clear_ex,clear_in,clear_in,Guilty,"Mr. Johnson was accused of sex trafficking in which he hired workers from mexico to work for him with the promise of free transportation and visas. Mr. Johnson would send these workers to the border to pick up individuals  and drive them to highway rest points to once again be trasnporte to other human traffickers. A women stated that she saw Mr. Johnson hand a letter to a person in a van with other individuals at one of these rest points, and a soda can was found next to a rest point with Mr. Johnsons fingerprints on it after a van drove away once a patrol car approached them. No evidence was found that Mr. Johnson had communications with people in Mexico.  ",1408.624496,,,Guilty,100,100,,,,,60,,,,,100,A woman testified that Mr. Johnson is the man she saw handing an envelope to the driver of a full 16-passenger van at a highway rest area.,A woman testified Mr. Johnson is not the man she saw handing an envelope to the driver of a full 16-passenger van at a highway rest area.,A woman testified that she’s not sure whether Mr. Johnson is the man she saw handing an envelope to the driver of a full 16-passenger van at a highway rest area.,1511.269102,1510.715112,,,,,,,,,,,,,1541.262503,1810.747376,1541.25453,4,0,4,3,"Mr. Johnson was accused of sex trafficking in which he hired workers from mexico to work for him with the promise of free transportation and visas. Mr. Johnson would send these workers to the border to pick up individuals  and drive them to highway rest points to once again be trasnporte to other human traffickers. A women stated that she saw Mr. Johnson hand a letter to a person in a van with other individuals at one of these rest points, and a soda can was found next to a rest point with Mr. Johnsons fingerprints on it after a van drove away once a patrol car approached them. No evidence was found that Mr. Johnson had communications with people in Mexico.  ",4,0,,,,,,,,,,,,,,,F,,,2024.2.4,DNA matching Mr. Johnson’s was found on a soda can dropped in a rest stop from a van carrying immigrants that drove off as a state trooper pulled up next to it. ,"DNA and fingerprints in the van that carried the victims to the traffickers match the victims, but none, including those on the steering wheel, match Mr. Johnston. ",Partly degraded DNA from a soda can dropped when state troopers approached a van carrying immigrants might possibly match Mr. Johnson’s DNA.,,,,,,2026-04-09 14h00.19.449944 -0600,JurorPsychopyTest,,,,,,,,,Pate,"Mr. Johnson’s cell phone contains a text to a phone number in Mexico, reading: “Need new fish. $$$ for quick turnaround. Usual drop.”","Neither Mr. Johnson’s cell phone nor computer shows voice calls, texts, or emails to Mexico.",Mr. Johnson’s cell phone shows frequent texts and voice calls to Mexico over the last 5 years.,2026-04-09_13h59.59.602,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,0,Truthfulness,Mr. Johnson was previously convicted of forgery for selling false identification documents. ,A local social-services agencyworker testified that Mr. Johnson has a reputation for truthfulness. ,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,1541.254346,1511.269154,1817.481143,1810.748317,1510.715043,1408.609258,,,,,,
83890,6,100,5,clear_in,clear_in,clear_ex,clear_in,Guilty,"Mrs. Michelle was accused of stealing a down jacket and fleece cap from a target in which she went into a fitting room, took all the clothes out of their packaging, and then wearing them to buy other various items. Evidence found fingerprints of Mrs. Michelle on the ripped packaging in the fitting room, and Mrs. Michelles ex employer stated her to be prone to theft. Police also found a reciept showing a time stamp of Mrs. Michelle purchasing the other various items of bread, raisins, and peanut butter at the same time of the theft, but a witness cashier states that she did not purchase those things. ",1817.501122,,,Guilty,100,88,,,,,60,,,,,88,"A cashier testified that Mrs. Mitchell is the person who bought peanut butter, chocolate milk, and raisin bread while wearing the kind of jacket and cap that were taken. ","A cashier testified that Mrs. Mitchell is not the woman who bought peanut butter, chocolate milk, and raisin bread.","A cashier testified that Mrs. Mitchell “might be” the woman buying peanut butter, chocolate milk, and raisin bread.",1878.271266,1877.796103,,,,,,,,,,,,,1908.262193,2068.15366,1908.25402,5,0,5,1,"Mrs. Michelle was accused of stealing a down jacket and fleece cap from a target in which she went into a fitting room, took all the clothes out of their packaging, and then wearing them to buy other various items. Evidence found fingerprints of Mrs. Michelle on the ripped packaging in the fitting room, and Mrs. Michelles ex employer stated her to be prone to theft. Police also found a reciept showing a time stamp of Mrs. Michelle purchasing the other various items of bread, raisins, and peanut butter at the same time of the theft, but a witness cashier states that she did not purchase those things. ",5,0,,,,,,,,,,,,,,,M1,,,2024.2.4,Torn packaging left in the changing room carries Mrs. Mitchell’s fingerprints.,Mrs. Mitchell’s fingerprints do not match those inside the torn packaging from in the changing room,"Mrs. Mitchell’s fingerprints have some similarities to prints in the torn packaging from changing room, but not enough to be sure of a match.",,,,,,2026-04-09 14h00.19.449944 -0600,JurorPsychopyTest,,,,,,,,,Pate,"In Mrs. Mitchell’s apartment, police found a Target receipt, time-stamped around the time of the theft, for peanut butter, chocolate milk, and raisin bread. ",A gas receipt shows Mrs. Mitchell’s credit card was used 20 miles from the Target 10 minutes before the theft. ,A credit card receipt shows that Mrs. Mitchell used her credit card to purchase several items at a convenience store 25 miles away from the Target on the day the theft occurred.,2026-04-09_13h59.59.602,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,0,Propensity,"Mrs. Mitchell's former employer says that in his opinion, she was prone to theft.",Mrs. Mitchell testified that she is not the kind of person who would ever steal anything from anyone.,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,1908.253846,1878.271317,2081.416756,2068.154569,1877.79604,1817.490517,,,,,,
83890,30,73,6,clear_in,clear_ex,ambiguous,clear_in,Guilty,"Montel was accussed of driving a rented SUV among a strip of people in which resulted in the death of 3 adults and a seven year old boy. Evidence that was testified by a person who was knocked over by the van during this time stated that it could have been Montel in the SUV, but they could not tell. An expert found that a palm print matched that of Montel's on the driver side door, and Montel had also been accused 5 years ago of threatening coworkers at a contrustion site. Lastly, Montel's phone also showed that he was at a wine bar 2 miles away when this incident occurred. ",2081.436872,,,Guilty,73,62,,,,,60,,,,,62,A tourist who was knocked over by the fleeing driver identified Mr. Juval in a police lineup. ,A tourist who was knocked over by the fleeing driver says it was not Mr. Juval. ,A tourist who was knocked over by the fleeing driver said maybe it was Mr. Juval but it could have been someone else. ,2160.007163,2159.122806,,,,,,,,,,,,,2190.003558,2325.239628,2189.991518,6,0,6,9,"Montel was accussed of driving a rented SUV among a strip of people in which resulted in the death of 3 adults and a seven year old boy. Evidence that was testified by a person who was knocked over by the van during this time stated that it could have been Montel in the SUV, but they could not tell. An expert found that a palm print matched that of Montel's on the driver side door, and Montel had also been accused 5 years ago of threatening coworkers at a contrustion site. Lastly, Montel's phone also showed that he was at a wine bar 2 miles away when this incident occurred. ",6,0,,,,,,,,,,,,,,,A,,,2024.2.4,An expert testified that a palm print from the driver’s door matches Mr. Juval.,An expert testified that none of the fingerprints in the SUV match Mr. Juval.,An expert testified there are not enough similarities between Mr. Juval’s palm print and a palm print on the SUV’s door for a conclusive match. ,,,,,,2026-04-09 14h00.19.449944 -0600,JurorPsychopyTest,,,,,,,,,Pate,"An expert testified that Mr. Juval’s computer had a map of the mall with a note, “No place to hide.”",Selfies on Mr. Juval’s phone show he was at a wine bar two miles away when the SUV drove onto the walkway. ,Mr. Juval’s computer contains a map of the walkway with shopping hours and driving directions to the entrance.,2026-04-09_13h59.59.602,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,0,Truthfulness,Mr. Juval was convicted five years ago for threatening workers at a construction site in his neighborhood.,A shopkeeper in Mr. Juval’s neighborhood testified that Mr. Juval has a good reputation for telling the truth.,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,2189.991347,2160.007212,2339.377318,2325.240625,2159.122734,2081.425919,,,,,,
