participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
192197,18,83,clear_in,clear_ex,clear_in,clear_in,Guilty,I imagined him being kind and acting like helping them but turning on them once he knew he had their trust.,164.4236099999398,,,239.71560103140555,,,1,,54,213.77852049993817,198.90781949996017,,,,,,,,,,,,,243.78724480001256,289.23882500000764,243.77477619994897,0,0,0,3,,,,,,,,,,,,,,,F,0.0437328,0.0436892,2023.2.3,,,,,,2026-04-22 15h29.17.505850 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-22_15h29.01.220,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,6.868101999978535,6.868105600005947,TRUE,,,,,1,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",0.0630479,0.0629794,243.7747689000098,213.7785295000067,309.20217939990107,289.2389360999223,198.90780809998978,164.39046159991995,164.38580729998648,137.05612399999518,137.0561161999358,127.54032249993179,127.52276949991938,120.64753909991123
192197,2,78,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,I imagine there was bias towards her for some reason and that if cameras show her replacimg the dress I dont know why they would think she did it.,309.2330306000076,,,239.71560103140555,,,,,11,349.1269431,345.29273190000094,,,,,,,,,,,,,379.1358314999379,426.03581819997635,379.12799409998115,1,0,1,0,,,,,,,,,,,,,,,M3 ,,,2023.2.3,,,,,,2026-04-22 15h29.17.505850 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-22_15h29.01.220,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,1,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,379.1279866999248,349.12695319997147,433.3515355999116,426.0358998000156,345.2927200999111,309.20243559998926,,,,,,
192197,14,87,clear_ex,ambiguous,clear_in,clear_in,Not Guilty,I think the fact he sold his sailboat made the case a bit more suspiscios but also the DNA doesnt match him and its one word against another.,433.37376929994207,,,239.71560103140555,,,,,35,470.2755144999828,468.70005280000623,,,,,,,,,,,,,500.27995989995543,545.9644755999325,500.2715864999918,2,0,2,2,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-22 15h29.17.505850 -0700,JurorPsychopyTest,,,,,,,,,????,2026-04-22_15h29.01.220,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,1,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,500.2715789999347,470.2755222999258,555.8653625999577,545.9645468,468.70004109991714,433.3517256999621,,,,,,
192197,28,82,clear_ex,clear_in,clear_in,clear_in,Guilty,No finger prints makes it seem like he didnt do it but then someone identified him and he had bought the same gas can so it couldve been possible.,555.8836469999515,,,239.71560103140555,,,,,61,596.5191472999286,595.0774411999155,,,,,,,,,,,,,626.5281930000056,678.5330624999478,626.5161776000168,3,0,3,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-22 15h29.17.505850 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-22_15h29.01.220,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,1,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,626.5161693999544,596.5191552999895,697.3095246999292,678.5331348999171,595.0774300999474,555.8655501999892,,,,,,
192197,30,54,clear_in,clear_ex,ambiguous,clear_in,Not Guilty,I dont think it was him becasue his phone showed him somewhere else when the crash happened and the car was rented so it could make sense his handprint was there if he had rented the car previosly.,697.3279074999737,,,239.71560103140555,,,,,25,733.3759727999568,732.0675633999053,,,,,,,,,,,,,763.3805456999689,814.1098032000009,763.3724028000142,4,0,4,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-22 15h29.17.505850 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-22_15h29.01.220,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,1,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,763.3723954999587,733.3759818999097,821.5786083999556,814.1098814000143,732.0675488999113,697.3097155,,,,,,
192197,19,48,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,I think the call being from his phone is suspicipous but if the bullets dont match his gun and someone saw the shots coming from a differetn house it doesnt seem like it wouldve beem him.,821.5970473999623,,,239.71560103140555,,,,,34,889.8961231999565,889.0080086999806,,,,,,,,,,,,,919.9006304,979.8892295999685,919.8919152999297,5,0,5,4,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-22 15h29.17.505850 -0700,JurorPsychopyTest,,,,,,,,,???,2026-04-22_15h29.01.220,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,1,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,919.8919078999897,889.8961313999025,988.7699774,979.8893011999317,889.0079958999995,821.5788042999338,,,,,,
192197,20,50,clear_ex,clear_ex,clear_in,clear_ex,Guilty,"I think while there are no finger prints, she couldve cleaned them and aslo couldve been clicking random buttons to make it seem realistic.",988.7971229999093,,,239.71560103140555,,,,,56,1037.581891,1037.0868216999806,,,,,,,,,,,,,1067.5864374999655,1120.5290292999707,1067.577860499965,6,0,6,5,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-22 15h29.17.505850 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-22_15h29.01.220,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,1,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,1067.577852099901,1037.5818988999818,1128.8925541999051,1120.5291015999392,1037.086809600005,988.7701658000005,,,,,
192197,22,73,ambiguous,clear_in,clear_ex,clear_ex,Guilty,Its suspicious that she left with a baby in her arms and maybe the nurse was on her side.,1128.915197999915,,,239.71560103140555,,,,,61,1167.788682000013,1167.5011642999016,,,,,,,,,,,,,1197.7929878999712,1230.9888672999805,1197.7851049000164,7,0,7,6,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-22 15h29.17.505850 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-22_15h29.01.220,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,1,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,1197.785097099957,1167.788689799956,1238.3031577999936,1230.9889421999687,1167.5011530999327,1128.8927437999519,,,,,,
192197,6,94,clear_in,clear_in,clear_ex,clear_in,Guilty,I think shes guilty her fingerprints were on everything and the reciept matched what they said was bouht.,1238.3255399999907,,,239.71560103140555,,,,,81,1264.9320407999912,1263.7899785999907,,,,,,,,,,,,,1294.9402217000024,1328.3578776000068,1294.932289499906,8,0,8,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,2026-04-22 15h29.17.505850 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-22_15h29.01.220,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,1,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,1294.9322810999583,1264.932049499941,1334.6214038999751,1328.3579552000156,1263.7899667000165,1238.3033468999201,,,,,,
192197,24,71,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,I think she may have been tricked into helping but theres no other eveidnec but her finger[rints on a reciept.,1334.6443066999782,,,239.71560103140555,,,,,36,1369.8543341999175,1369.3749261999037,,,,,,,,,,,,,1399.859056999907,1438.102445699973,1399.8508285999997,9,0,9,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-22 15h29.17.505850 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-22_15h29.01.220,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,1,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,1399.8508194999304,1369.854342,1443.7538073000032,1438.1025316999294,1369.374912799918,1334.6216048999922,,,,,,
