participant,rank,realrate.response,casestrength.response,responseTextBox.text,verdict.response,condition,verdict
583098,6.0,49.0,49.0,I do not think that it showed me a question?,Not Guilty,0,0
583098,30.0,74.0,25.0,Mr. Juval has selfies of himself at the time of the crime. Mr. Juvals prints were found in the car. Mr. Juval drove on the side walk for a mile. Mr. Juval also threatened construction workers and was convicted of that.,Not Guilty,0,0
583098,19.0,43.0,52.0,Mr. Andersen called the police making a threat that he was going to do something about the party if they did not. The caller was calling from Mr. Andersens phone but was not certain to be Mr. Andersen. The party was across the streat and the bullet was not what did the harm. Mr. Andersens gun was confirmed not to be the one that shot the bullets.,Not Guilty,0,0
583098,14.0,62.0,90.0,mr. Jackson has been convicted of not paying taxes. He just sold his sailboat for 43 large. He was identified giving the envelope to the zoning official right before the vote however his DNA was not found underneath the seal of the envelope.,Guilty,0,1
583098,18.0,98.0,99.0,The defendant is accused of human traffiking. He would take victems from Mexico using the promise of visas and work. His DNA was found on a soda can at a rest stop that the truck carrying victems went through and was confirmed to be in the truck. His phone and computer show no communication with Mexico. It was testified by a witness that the defendant was the one she saw moving a young girl into a van.,Guilty,0,1
583098,22.0,82.0,100.0,The defendant was seen by security cameras taking the baby out of the hostpital. It was told that a nurse testified seeing her in the hostpital. It was also told that her DNA was found in a bathroom nearby the hostpital. A public leader did say that she was a very truthful person.,Guilty,0,1
583098,24.0,60.0,3.0,"The defendants print was found on a collection notice form the fraudulant company. Other companies in the same building claimed to see action at the company but never the defendant. The defendants computer contained records of two legit companies but nothing about the fake one. The defendant also was vouched for by her employer saying that she was ""a trustworthy person"".",Not Guilty,0,0
583098,28.0,60.0,64.0,The defendatns prints were not found at the scene of the crime. A recipt was found in his apartment that he had bought a 5 gallon gas tank which was the same one found at the crime scene. A woman identified the defendant as being ther perpetrator. A former employer said that he was not a law-abiding citizen.,Guilty,0,1
583098,2.0,7.0,1.0,A clerk identified the defendant after leaving a fitting room after hearing sounds of scissor. The video tape showed the defendant coming out and re racking the dress that was presumably stolen. In a group the defendant is associated with her reputation is truthful and good. The dress was persumably hidden in a giant pocket of a large purse.,Not Guilty,0,0
583098,20.0,54.0,2.0,The defendant is seen on camera hitting keys before every item goes in a bag. The defendants priest said that she was an honest person. A woman behind a customer that the defendant was ringing up said that not all of the items were scanned. Among fingerprints accquired from the free bagged items there was no match to the defedant.,Not Guilty,0,0
