participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started
613085,6,100,clear_in,clear_in,clear_ex,clear_in,Guilty," Mrs. Mitches fingerprints were on the torn bag.
 Her coligue said that she was prone to stealing.
 One of the workers said that she was not the one that bought the items while wearing the stolen clothing
 The tags were ripped off the in changing room and then worn when buying other items.
",148.5606433,,,240.3886603,,,1,,71,193.2159256,179.4688684,,,,,,,,,,,,,223.2238837,313.6934234,223.2116022,0,0,0,1,,,,,,,,,,,,,,,M1,0.0407693,0.0407211,2023.2.3,,,,,,2026-04-15 15h37.18.039565 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-15_15h37.00.326,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,4.1210429,4.1210461,TRUE,,,,,0,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",0.049621,0.0495597,223.2115958,193.2159335,325.6784103,313.6935413,179.4688527,148.5403567,148.5358766,120.5733417,120.5733342,73.336649,73.319177,69.1918005
613085,28,64,clear_ex,clear_in,clear_in,clear_in,Guilty," His fingerprints were not at the crime scene
someone said they saw him shortly after the fire with gas cans in his hands
a recipt was found at his home for 5 gallons of gas
 Someone said that he is not a law-abliding person",325.7008443,,,240.3886603,,,,,88,375.6568868,371.0136971,,,,,,,,,,,,,405.6645733,459.2297086,405.6563071,1,0,1,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-15 15h37.18.039565 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-15_15h37.00.326,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,0,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,405.6563004,375.6568953,471.1288385,459.2297761,371.0136856,325.6786631,,,,,,
613085,20,99,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,"her preist said that she is very trust worthy in her church community 
 There is no good video evidence of her freebagging the items
a customer thought that she may have no been scanning all of the items.
 None of the reovered items had any of her fingerprints on them.",471.1550748,,,240.3886603,,,,,17,555.9752391,554.4127804,,,,,,,,,,,,,585.9792065,647.9794753,585.970887,2,0,2,5,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-15 15h37.18.039565 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-15_15h37.00.326,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,0,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,585.9708804,555.9752466,658.8182579,647.9795535,554.4127693,471.1290241,,,,,
613085,18,100,clear_in,clear_ex,clear_in,clear_in,Guilty,"there were no phone calls, texts, or emails going to mexico
 His fingerprints were found on a can that was dropped by a van  filled with immigrants that was stopped by the police
 was previously guity for forging identification documents 
 was found handing an envelpoe to someone that had a 16 person van filled with immigrants",658.8450758,,,240.3886603,,,,,75,750.4076339,750.1031225,,,,,,,,,,,,,780.4211033,895.6657725,780.4089501,3,0,3,3,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-15 15h37.18.039565 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-15_15h37.00.326,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,0,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,780.4089432,750.4076414,901.8588389,895.6658544,750.1031104,658.8184472,,,,,,
613085,19,70,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,"he called the police and said if they didnt come and do something about it then he would
 girl saw him at the open window with a gun 
 His neighbors say that he is the non violent type
 the bullets at the scene did not match his bullets to his only gun.",901.877197,,,240.3886603,,,,,26,952.1733068,951.9191913,,,,,,,,,,,,,982.1868838,1040.502697,982.1750647,4,0,4,4,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-15 15h37.18.039565 -0700,JurorPsychopyTest,,,,,,,,,???,2026-04-15_15h37.00.326,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,0,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,982.1750566,952.1733147,1050.054715,1040.502765,951.9191797,901.8590816,,,,,,
613085,22,68,ambiguous,clear_in,clear_ex,clear_ex,Guilty,"her DNA matched with DNA in a bathroom that was near the emergency room/hopital
 A nurse testified that she say her on a differnt floor visiting someone else when the alarms went off 
 Someone who has a strong precense in the community said that she is very trustworthy 
 there is video evidence of her leaving with a baby in her hands form the hospital.",1050.081386,,,240.3886603,,,,,67,1120.019697,1119.064135,,,,,,,,,,,,,1150.03171,1247.317585,1150.019299,5,0,5,6,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-15 15h37.18.039565 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-15_15h37.00.326,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,0,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,1150.019293,1120.019704,1254.612366,1247.317666,1119.064123,1050.054911,,,,,,
613085,30,64,clear_in,clear_ex,ambiguous,clear_in,Not Guilty,"the mans fingerprints were found on the door of the SUV
 Somone said that it could of been the man but he is not really sure and it could of been somoene else
 He was convicted 5 years ago for threatening construction workers
 Selfies on his phone showed that he was at a wine bar 2 miles away from when the SUV hit the people.",1254.63461,,,240.3886603,,,,,43,1315.454918,1315.288243,,,,,,,,,,,,,1345.468851,1415.68748,1345.456457,6,0,6,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-15 15h37.18.039565 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-15_15h37.00.326,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,0,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,1345.456451,1315.45493,1423.573048,1415.687572,1315.288232,1254.612563,,,,,,
613085,14,77,clear_ex,ambiguous,clear_in,clear_in,Not Guilty,"he sold his 34 foot yhat for about 43000$ 3 weeks before the vote
 His DNA under the flap of the envolope did not match his
 He was convicted for failing to pay his taxes
 Someone who later identfiied his saw him give the same type of bribe envelope to soemone else right before the vote.",1423.595578,,,240.3886603,,,,,44,1500.95817,1500.312356,,,,,,,,,,,,,1530.967622,1615.824054,1530.959104,7,0,7,2,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-15 15h37.18.039565 -0700,JurorPsychopyTest,,,,,,,,,????,2026-04-15_15h37.00.326,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,0,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,1530.959097,1500.958178,1626.451221,1615.824137,1500.312344,1423.573249,,,,,,
613085,24,67,clear_in,clear_ex,clear_ex,clear_ex,Guilty,"Her fingerprints were found on a notice of the fake company
 there were no recrods of any of the fake company records on her computer, but 2 realistic companys and all of there reports and taxes
 Someone said that she is a very honest person
 someone in the office building always saw different people at the fake company but never her. ",1626.473907,,,240.3886603,,,,,59,1697.836508,1697.686567,,,,,,,,,,,,,1727.845727,1807.711575,1727.837325,8,0,8,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-15 15h37.18.039565 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-15_15h37.00.326,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,0,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,1727.837317,1697.836515,1815.125291,1807.711671,1697.686557,1626.451416,,,,,,
613085,2,89,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,"someone said that she is a very truthful and honest good person
 a worker said that she heard sizzors cutting in the dressing room and the person to leave was identified as her
 There is video evidence showing her leaving and the dress still hanging on the rack in the dressing room 
 There were smuged fingerprints of the purse which couldnt help identify if it was her or not.",1815.152029,,,240.3886603,,,,,35,1895.031223,1894.814617,,,,,,,,,,,,,1925.040719,2033.890324,1925.032473,9,0,9,0,,,,,,,,,,,,,,,M3 ,,,2023.2.3,,,,,,2026-04-15 15h37.18.039565 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-15_15h37.00.326,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,0,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,1925.032466,1895.031229,2039.044838,2033.890401,1894.814606,1815.125488,,,,,,
