participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196364,18,72,clear_in,clear_ex,clear_in,clear_in,Guilty,"figer prints on can left in van the ;eft rest area that matches his figer prints
.
no phonme call text por emails between ot too mexico
. cant remeber the rest
",156.2575204,,,240.0107525,,,1,,63,213.3085291,200.1168126,,,,,,,,,,,,,243.3173177,326.5561057,243.3049436,0,0,0,3,,,,,,,,,,,,,,,F,0.0608472,0.0607872,2023.2.3,,,,,,2026-04-15 14h26.38.121480 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-15_14h26.15.810,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,4.8431069,4.8431131,TRUE,,,,,0,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",0.0814057,0.0813413,243.3049373,213.3085373,344.4216655,326.5562364,200.1168006,156.2289658,156.2240899,113.6277127,113.6277043,109.2949581,109.2774547,104.4276352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196364,28,65,clear_ex,clear_in,clear_in,clear_in,Guilty,"former employee said he wqas a person t do this crime
.
 there was a receit that sdhowed he bought fiver gasllons of gasonline'
person saew huim near the building befor ethe fire with the 5 gallong jug
no figer prints of him",344.4481607,,,240.0107525,,,,,64,390.4536201,389.5035773,,,,,,,,,,,,,420.4622913,495.8671321,420.4508236,1,0,1,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-15 14h26.38.121480 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-15_14h26.15.810,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,0,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,420.450817,390.4536285,514.9675388,495.8671981,389.5035675,344.4219132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196364,6,99,clear_in,clear_in,clear_ex,clear_in,Guilty,"police found recit in her a[artment for the goceriecs.
her figer [rints were fpund pon the riped off tags in the changing room for the cloths she allegtly stole
. chasier say she was no the one who bought the peanut butter, and reasins
,
formewr employey says she wopuld be the typem of pearson to do this.",514.9927526,,,240.0107525,,,,,94,571.0571749,570.1362378,,,,,,,,,,,,,601.0616645,688.146506,601.0535735,2,0,2,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,2026-04-15 14h26.38.121480 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-15_14h26.15.810,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,0,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,601.0535663,571.0571827,693.7980016,688.1466028,570.136227,514.9677356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196364,30,78,clear_in,clear_ex,ambiguous,clear_in,Not Guilty,"p[olcie saidn the defendets palm prints match the ones on the drivers door of the car
the defendetn was convicdeed of a crime 5 years ago

women who was knocked down by the runaway vicahle said the driver could habe been the defendent but she was unsure
selfies from the defendents phoine show that he was at a bar 2 miles away from the accident when iot happened",693.8204086,,,240.0107525,,,,,47,776.1323707,769.7150137,,,,,,,,,,,,,806.1327845,913.9845318,806.124085,3,0,3,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-15 14h26.38.121480 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-15_14h26.15.810,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,0,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,806.124078,776.1323789,938.8649015,913.9846056,769.7150027,693.7981907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196364,24,69,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,"person say that defentdent is an honest person
her figer prints where fopunf on th ercall papers of the fake company
her copmputer sdhow reciters and work for two other l;igitment compnays but notheing about the fake one
witness from teh same building say they saw many people going in and out of nthe3 fake office but never the deffendent.",938.8874631,,,240.0107525,,,,,30,991.9361513,991.0024189,,,,,,,,,,,,,1021.940432,1112.320719,1021.932011,4,0,4,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-15 14h26.38.121480 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-15_14h26.15.810,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,0,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,1021.932004,991.9361581,1118.880585,1112.320792,991.002407,938.8651069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196364,22,100,ambiguous,clear_in,clear_ex,clear_ex,Not Guilty,"digitalm camera experts says they saw her leaving the hospital with a baby
a nurse say she saw her visiting another [atiemnt on another f;loor when the alarms went off on the madernity f;loor that a baby was missing
dna experts say thewy found her dna in the bathroom near the mergancy room

a p[erson in the community who say he has know the defendent for a many years says she ios a very trustful person",1118.903267,,,240.0107525,,,,,59,1183.852292,1183.25601,,,,,,,,,,,,,1213.856212,1334.165675,1213.84862,5,0,5,6,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-15 14h26.38.121480 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-15_14h26.15.810,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,0,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,1213.848613,1183.8523,1345.460382,1334.165774,1183.255998,1118.880768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196364,2,99,ambiguous,clear_ex,clear_in,clear_ex,Guilty,"dna expertys FOUND SMERDED FIGER PRINTS ON THJE SICCERS AND ANTI THEFT TAG AND CANNOT SYA THEY  DO OR DONOT BELONG TO HER
DENFENDENTS MINISTER SAID SHE IOS A VERY TRUSTWORTHY PERSON AMNG HER PEERS

video evidence shows she went in the changing room weith the dress and left it on the hook when she left

women whjpo w3as workiung in the dress ndepartment says she heard the sound of siccers and saw the defendt walk out of the changing room",1345.487082,,,240.0107525,,,,,44,1426.877439,1422.972874,,,,,,,,,,,,,1456.878087,1623.92515,1456.869274,6,0,6,0,,,,,,,,,,,,,,,M3 ,,,2023.2.3,,,,,,2026-04-15 14h26.38.121480 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-15_14h26.15.810,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,0,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,1456.869268,1426.877448,1630.311504,1623.925233,1422.972862,1345.460578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196364,19,37,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,"ther bnullemntds at the party that were fired do nnot match the bullents n denfendts yard to his only gun
people say he is a nonviolent guy

911 operader reported him sayiung if you dont do siomething about the party i will.
giurl at bparty saids she saw someone with a gun in an open window in ahopuse across the street from the defendets",1630.334073,,,240.0107525,,,,,54,1676.031969,1675.44397,,,,,,,,,,,,,1706.032191,1814.731011,1706.02374,7,0,7,4,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-15 14h26.38.121480 -0700,JurorPsychopyTest,,,,,,,,,???,2026-04-15_14h26.15.810,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,0,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,1706.023733,1676.031977,1827.445351,1814.731086,1675.443959,1630.311695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196364,20,72,clear_ex,clear_ex,clear_in,clear_ex,Guilty,"storte sostamer say she thiunk sthatv the defnedidnt did not scan all of the items that she put in the bag
 video evidence does not show here moving bags wothout pushing buttons on the cunmputor
l;ocal priest says she is a very hionest and trusywroth person in there cummunity

the figer prints of the many unscanded goceried do not lesad back to the dfendent",1827.471143,,,240.0107525,,,,,20,1987.754486,1987.29149,,,,,,,,,,,,,2017.754033,2113.538348,2017.746154,8,0,8,5,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-15 14h26.38.121480 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-15_14h26.15.810,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,,,,,,,,0,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,,,2017.746146,1987.754495,2121.47156,2113.538418,1987.291478,1827.445553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196364,14,27,clear_ex,ambiguous,clear_in,clear_in,Guilty,"th3e figerp[rints on the4 envlpope do not match the defendent
the defents w3as convicted opf not paying his taxes
three weeksing befoe rhte zoning vote, the defendent sold his sail;bpat fpore 43000 
another cl;ark say they say someone later identifed as the defendent passing a envolep matchin ghte one in evidence tpo a zoning clark right before voting",2121.497756,,,240.0107525,,,,,66,2195.836806,2195.240819,,,,,,,,,,,,,2225.837228,2316.102726,2225.828998,9,0,9,2,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-15 14h26.38.121480 -0700,JurorPsychopyTest,,,,,,,,,????,2026-04-15_14h26.15.810,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,0,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,2225.828991,2195.836814,2322.931621,2316.102817,2195.240807,2121.471748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
