participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started,
963536,20,76,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,"Fingerprints found on the items did not match the suspect.
No surveillance footage shows the she didn't enter numbers on a computer before bagging the items
A customer says they saw the suspect bag items before her and doesn't thing she rang them up
The suspect's church says she has a good reputation and no history of stealing",197.5825334,,,119.7861577,,,1,,18,270.1014948,252.4595961,,,,,,,,,,,,,300.1061743,394.9670047,300.0939093,0,0,0,5,,,,,,,,,,,,,,,C,0.0474736,0.0474315,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-14_10h53.26.452,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,5.9656481,5.9656508,TRUE,,,,,0,Propensity,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,0.0665665,0.0665027,300.0939016,270.1015026,425.3473929,394.9671313,252.4595829,197.5585064,197.5534554,169.8995311,169.8995227,104.3394482,104.322283,98.3504408
963536,24,63,clear_in,clear_ex,clear_ex,clear_ex,Guilty,"Ms. Franklin's computer has meticulous records on two legitimate companies she owns, alongside personal finance plans and tax records but nothing about the fake company.
Ms. Franklin's fingerprints were found on a bank statement for the fake company.
An insurance person that works in the same office as the fake company says they saw many people in the fake company's office, but not Ms. Franklin.
Ms. Franklin's employer says she's an honest person.
",425.3780395,,,119.7861577,,,,,59,640.4043715,634.4709642,,,,,,,,,,,,,670.409053,816.7954757,670.4009788,1,0,1,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-14_10h53.26.452,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,0,Propensity,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,670.4009705,640.4043802,841.1340559,816.7955565,634.470948,425.3476598,,,,,,,
963536,14,58,clear_ex,ambiguous,clear_in,clear_in,Guilty,"Bank records and statements show that Mr. Johnson sold his 34-foot sailboat for $43,000 three weeks before the election.
A teller at the bank said she saw a man, who she later identified as Mr. Johnson, give an envelope of the same type as the bribe envelope to a zoning official.
DNA found under the flap of the seal of the envelope matches someone other than Mr. Johnson
Mr. Johnson was previously convicted of tax evasion",841.1566716,,,119.7861577,,,,,64,963.5728828,963.3777293,,,,,,,,,,,,,993.5773452,1169.392604,993.5651413,2,0,2,2,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,????,2026-04-14_10h53.26.452,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,0,Propensity,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,993.5651332,963.5728908,1179.983148,1169.392673,963.3777139,841.1342602,,,,,,,
963536,2,76,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,"An investigator testified that smudged fingerprints found on the scissors left inside a dressing room alongside anti-theft tags cannot be confirmed nor denied as the fingerprints of Mrs. Armstrong
Mrs. Armstrong's minister says she has a good reputation for honesty
A store clerk working the women's department said they heard scissors from a dressing room and later identified Mrs. Armstrong as the woman who came out of that dressing room.
Security footage shows Mrs. Armstrong entering a dressing room with the dress and then exiting and placing it back on the rack.",1180.00939,,,119.7861577,,,,,30,1304.450556,1303.516658,,,,,,,,,,,,,1334.454882,1484.777781,1334.442434,3,0,3,0,,,,,,,,,,,,,,,M3 ,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-14_10h53.26.452,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,0,Truthfulness,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,1334.442425,1304.450564,1493.596332,1484.777876,1303.516643,1179.983345,,,,,,,
963536,19,65,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,"A woman who attended the party said she saw someone with a gun open the window in the house across the street from Mr. Anderson's house. The bullets found in the neighbor's yard do not match the bullets test-fired from Mr. Anderson's only gun. In a 911 call, someone from Mr. Anderson's phone is heard telling the operator, If you don't do something about the party I will."" A neighbor says Mr. Anderson has a tendency for non-violence.""",1493.61461,,,119.7861577,,,,,21,1612.097232,1611.08063,,,,,,,,,,,,,1642.097872,1763.600073,1642.089649,4,0,4,4,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,???,2026-04-14_10h53.26.452,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,0,Propensity,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,1642.089641,1612.097241,1770.881085,1763.600152,1611.080616,1493.596536,,,,,,,
963536,28,60,clear_ex,clear_in,clear_in,clear_in,Guilty,"An eyewitness testifies that she saw a man, who she later identifies to be Mr. Farooqui, carrying a gas can near the building shortly before the fire happened. Mr. Farooqui's previous employer says that, in his opinion, Mr. Farooqui was not a law-abiding person. An expert testifies that no fingerprints at the scene match Mr. Farooqui. A reciept was found at Mr. Farooqui's home for a five-gallon can of the same gas found at the scene.",1770.903718,,,119.7861577,,,,,63,1906.340339,1905.444384,,,,,,,,,,,,,1936.345513,2047.613576,1936.336685,5,0,5,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,Don,2026-04-14_10h53.26.452,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,0,Propensity,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,1936.336677,1906.340347,2074.05253,2047.613671,1905.44437,1770.881271,,,,,,,
963536,6,73,clear_in,clear_in,clear_ex,clear_in,Not Guilty,"A receipt was found in Mrs. Mitchell's home, with the timestamp of the theft, for chocolate milk and raisin bread.
Torn packaging found in the changing room had fingerprints that match Mrs. Mitchell
A Target cashier claims that Mrs. Mitchell was not the one who bought the chocolate milk and raisin bread. 
Mrs. Mitchell's former employer says that she was ought to steal",2074.075458,,,119.7861577,,,,,43,2165.757468,2165.570452,,,,,,,,,,,,,2195.757864,2338.184662,2195.749777,6,0,6,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-14_10h53.26.452,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,0,Propensity,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,2195.749769,2165.757476,2351.02167,2338.184745,2165.570439,2074.052742,,,,,,,
963536,22,45,ambiguous,clear_in,clear_ex,clear_ex,Guilty,"A promoinent person in the community says that after knowing her for years, his opinion of Ms. Garcia is a truthful person. A nurse trestifies that she saw Ms. Garcia visiting a patient on another floor when the alarm alerted nurses of a baby missing. DNA found in a bathroom near the emergency room doors of the hospital matches Ms. Garcia. A digital expert testifies that the hospital security cameras show Ms. Garcia leaving the hospital with a baby in her arms.",2351.048208,,,119.7861577,,,,,63,2447.317498,2446.454913,,,,,,,,,,,,,2477.317141,2604.502795,2477.308851,7,0,7,6,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,Artemis,2026-04-14_10h53.26.452,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,0,Truthfulness,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,2477.308842,2447.317507,2612.076264,2604.502878,2446.454901,2351.021858,,,,,,,
963536,18,84,clear_in,clear_ex,clear_in,clear_in,Guilty,"DNA matching Mr. Johnson was found on a soda can in a trash can at a rest stop where a van with immigrants left as a state trooper pulled up beside them. Mr. Johnson's phone and computer don't show any calls, texts, or emails to Mexico. Mr. Johnson was previously convicted of forging identification documents and selling them.  A woman claims she saw Mr. Johnson hand an envelope to a 16-person van at a highway rest stop.",2612.107098,,,119.7861577,,,,,67,2679.404372,2678.421503,,,,,,,,,,,,,2709.405554,2868.432277,2709.396567,8,0,8,3,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-14_10h53.26.452,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,0,Truthfulness,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,2709.396559,2679.404381,2876.717361,2868.432348,2678.42149,2612.076584,,,,,,,
963536,30,62,clear_in,clear_ex,ambiguous,clear_in,Not Guilty,A handprint on the driver's door of the van matches Mr. Juval. A selfie on Mr. Juval's phone shwos he was at a wine bar 2 hours away when the van drove onto the pedestrian street. Mr. Juval was accused of harrassing workers at a construction site in his neighborhood 5 years ago. A person hit by the car said the driver could have been Mr. Juval or someone else.,2876.739848,,,119.7861577,,,,,38,2977.938874,2976.735025,,,,,,,,,,,,,3007.943928,3114.775409,3007.935253,9,0,9,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,Pate,2026-04-14_10h53.26.452,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,0,Truthfulness,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,3007.935246,2977.938883,3122.139767,3114.775505,2976.735009,2876.717553,,,,,,,
963536,,,,,,,,,3132.442159,3,,119.7861577,,,,,,,,0,0,0,0,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,3141.996416,3132.432355,3147.076719,3141.996426,"The exact contour of face, head, shoulders and body.",3132.41265,3122.139901,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-14_10h53.26.452,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
963536,,,,,,,,,3147.096929,3,,119.7861577,,,,,,,,1,0,1,1,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,3147.076913,3147.076894,3156.106292,3147.076916,"Characteristic poses of head, attitudes of body, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-14_10h53.26.452,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
963536,,,,,,,,,3156.125371,2,,119.7861577,,,,,,,,2,0,2,2,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,3156.106433,3156.106416,3167.3606,3156.106437,"The precise carriage, length of step, etc., in walking.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-14_10h53.26.452,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
963536,,,,,,,,,3167.379936,2,,119.7861577,,,,,,,,3,0,3,3,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,3167.360748,3167.360731,3171.347688,3167.360752,The different colors worn in some familiar clothes.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-14_10h53.26.452,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
963536,,,,,,,,,3171.359107,4,,119.7861577,,,,,,,,4,0,4,4,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,3178.663353,3171.347811,3186.235573,3178.663362,The sun is rising above the horizon into a hazy sky.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-14_10h53.26.452,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
963536,,,,,,,,,3186.251087,1,,119.7861577,,,,,,,,5,0,5,5,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,3186.23572,3186.235701,3196.148305,3186.235724,The sky clears and surrounds the sun with blueness.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-14_10h53.26.452,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
963536,,,,,,,,,3196.164204,2,,119.7861577,,,,,,,,6,0,6,6,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,3196.148457,3196.148439,3204.057309,3196.148461,"Clouds. A storm blows up, with flashes of lightning.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-14_10h53.26.452,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
963536,,,,,,,,,3204.072056,2,,119.7861577,,,,,,,,7,0,7,7,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,3204.057456,3204.057438,3206.469569,3204.05746,A rainbow appears.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-14_10h53.26.452,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
963536,,,,,,,,,3206.480607,4,,119.7861577,,,,,,,,8,0,8,8,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,3213.985054,3206.469691,3218.361615,3213.985063,The overall appearance of the shop from the opposite side of the road.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,2026-04-14 10h53.58.306276 -0700,JurorPsychopyTest,,,,,,,,,,2026-04-14_10h53.26.452,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
