participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,,,,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,,,,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,,,,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,,,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started,
068653,20,77,clear_ex,clear_ex,clear_in,clear_ex,Not Guilty,"I imagined an old lady stealing items at the self checkout counter and putting it in a bag with a very panicked expression on her face. The 20ish year old girl right next to her wasd looking at her with a judgy expression on her face. After finally paying, she quickly rushed out of the store clutching her bag close to her and eyes darting around.",86.38069800008088,,,239.9502823698601,,,1,,5,,,,136.60747150005773,124.0574031000724,,,,,,,,,,,,,166.62036150007043,280.8893508000765,166.60790100006852,0,0,0,5,,,,,,,,,,,,,,,C,0.0461138,0.0460675,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,Don,,,,2026-04-21_11h58.03.704,,,Burglary & theft,Stealing from their workplace by taking items without charging for them.,Embezzlement,8.109226199914701,8.109231299953535,TRUE,,,,,1,Propensity,,,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by freebagging", bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.,0.0679244,0.0678613,166.60789440001827,136.60748000000603,297.01589840010274,280.88946480001323,124.05739040009212,86.35627510002814,86.35154600010719,34.36832920007873,34.36832060001325,31.64260780008044,31.62567850004416,23.516198300058022
068653,19,8,clear_ex,clear_in,clear_ex,clear_ex,Not Guilty,I imagine a very loud party with a bunch of teenagers. Mr Anderson in the house next door seems annoyed and complaining to his wife and calls 911 with a noise conplaint. He is very annoyed. He tries to go to sleep or something (not shoot down the party). The hosue across from the party has people aiming a gun at the party and shoots.,297.0423380000284,,,239.9502823698601,,,,,36,,,,388.9793369000545,383.09120790008456,,,,,,,,,,,,,418.9877222001087,584.0613217001082,418.9794576000422,1,0,1,4,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,???,,,,2026-04-21_11h58.03.704,,,"Assault, kidnapping",Firing a gun into a party and injuring two people.,Discharge weapon into occupied property,,,,,,,,1,Propensity,,,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",,,418.97945000010077,388.9793461000081,608.8510865001008,584.0614032000303,383.09119619999547,297.01614210009575,,,,,,,
068653,22,57,ambiguous,clear_in,clear_ex,clear_ex,Guilty,I imagine Mrs. Garcia having certain mental problems etc and rushing into the unit with the babies and stealing one and running out and putting the baby in her car. SHe comes back really fast in about 20 seconds just so that she is back in the hospital visiting a patient in a room above right as the kidnapping is reported so that she can have an alibi but a strand of her hair got caught in the emergency door in her rush showing the DNA evidence.,608.8738148000557,,,239.9502823698601,,,,,81,,,,650.7589706000872,649.2797054999974,,,,,,,,,,,,,680.7724732001079,848.8489484,680.7600909,2,0,2,6,,,,,,,,,,,,,,,E,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,Artemis,,,,2026-04-21_11h58.03.704,,,"Assault, kidnapping",Kidnapping a newborn.,Kidnapping 2nd degree,,,,,,,,1,Truthfulness,,,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,,,680.7600836000638,650.7589795000385,869.3847796000773,848.8490200000815,649.2796932000201,608.8512781000463,,,,,,,
068653,2,62,ambiguous,clear_ex,clear_in,clear_ex,Not Guilty,I imagine the accused person trying on the dress in the room finding the scissors and maybe playing around with it and then leaving it there and going out of the dressing room and hanging it back up on the rack. She then left the store and someone else could have come in to the same dressing room and done what happened to the dress then.,869.4115915000439,,,239.9502823698601,,,,,28,,,,966.4279014000203,964.8069252000423,,,,,,,,,,,,,996.4318019000348,1110.2164254999952,996.4236246,3,0,3,0,,,,,,,,,,,,,,,M3 ,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,Artemis,,,,2026-04-21_11h58.03.704,,,Shoplifting,Removing price tags from and hiding an item of clothing.,Concealment of Merchandise ,,,,,,,,1,Truthfulness,,,"Wendy Armstrong has been charged with concealing merchandise in a fancy department store. Prosecutors claim that while in a changing room she cut off anti-theft tags and deliberately hid a dress worth $1,200 in a side compartment within the large purse she carried with her into the store. ",,,996.4236167001072,966.4279097000835,1119.4861713000573,1110.2165039000101,964.8069111000514,869.3849633000791,,,,,,,
068653,24,67,clear_in,clear_ex,clear_ex,clear_ex,Not Guilty,"I imagine a fraudulent mortage  colelcting business running with no involvement from Mrs. Franklin. She might have had her fignerprints implanted onto one of the cards to put blame on her but because there is lacking evidence, I dont think she is involved.",1119.5128622000339,,,239.9502823698601,,,,,10,,,,1198.327421599999,1197.8398887000512,,,,,,,,,,,,,1228.3361114000436,1294.7661436001072,1228.328041800065,4,0,4,7,,,,,,,,,,,,,,,C,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,Pate,,,,2026-04-21_11h58.03.704,,,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,False Pretenses $100K+,,,,,,,,1,Propensity,,,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",,,1228.3280345000094,1198.3274293000577,1301.0051873000339,1294.7662171000848,1197.8398757000687,1119.4863665000303,,,,,,,
068653,14,74,clear_ex,ambiguous,clear_in,clear_in,Guilty,"I imagine that he did commit the crime where he used the 50,000 dollar bribe and handed it to the zoning vote guy in his favor due to his sudden boat selling which he sold to make the money for the zonig vote. He also failed to pay his taxes which clearly means he needs the favor and the witness probably saw him giving the paper to the zoning vote guy.",1301.0278129000217,,,239.9502823698601,,,,,64,,,,1372.8688674001023,1372.6472609000048,,,,,,,,,,,,,1402.8771124000195,1504.3361520000035,1402.8693104000995,5,0,5,2,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,????,,,,2026-04-21_11h58.03.704,,,Fraud & bribery,Bribing a public official.,Bribery of Public Official,,,,,,,,1,Propensity,,,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",,,1402.8693021000363,1372.8688750000438,1515.418224300025,1504.3362280000001,1372.647250100039,1301.0053826000076,,,,,,,
068653,28,33,clear_ex,clear_in,clear_in,clear_in,Guilty,"I think he was wearing gloves and bought the gas can the day before and carreid it to the building and then lit the building on fire. Someone from some organization was probably paying him to do it because his ""former"" employer might mean he doesnt have a job and he isn't law abiding.",1515.4406474001007,,,239.9502823698601,,,,,67,,,,1565.0093331000535,1564.7716190000065,,,,,,,,,,,,,1595.018132,1659.707486,1595.0097762000514,6,0,6,8,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,Don,,,,2026-04-21_11h58.03.704,,,Homicide,Killing someone by burning down a building.,Felony Murder,,,,,,,,1,Propensity,,,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",,,1595.009768799995,1565.009341099998,1669.2043654000154,1659.7075743000023,1564.7716040000087,1515.4184124000603,,,,,,,
068653,18,82,clear_in,clear_ex,clear_in,clear_in,Guilty,I imagine he is involved and forges false identification for his trafficing people and drives themn from the border to the spots and he was drinking soda which he dropped at one of the rest stops and he was giving the false identification documents to other people in his envelope he was seen hangding out.,1669.2352887000889,,,239.9502823698601,,,,,74,,,,1704.8826264000963,1704.7200182001106,,,,,,,,,,,,,1734.8913440000033,1797.2497757000383,1734.8829428000608,7,0,7,3,,,,,,,,,,,,,,,F,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,Pate,,,,2026-04-21_11h58.03.704,,,"Assault,kidnapping ",Human trafficking.,Human Trafficking,,,,,,,,1,Truthfulness,,,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",,,1734.882934100111,1704.8826337000355,1803.8604786000215,1797.2498429000843,1704.720008,1669.2045582000865,,,,,,,
068653,30,49,clear_in,clear_ex,ambiguous,clear_in,Not Guilty,"I don,t remember I accidentally clicked it before I could read it.",1803.8787509000394,,,239.9502823698601,,,,,49,,,,1827.9063404001063,1806.4927357000997,,,,,,,,,,,,,1857.9102475000545,1874.1812003001105,1857.9020784000168,8,0,8,9,,,,,,,,,,,,,,,A,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,Pate,,,,2026-04-21_11h58.03.704,,,Homicide,Driving an SUV into a crowd and killing four people.,Murder 1st - 4 counts,,,,,,,,1,Truthfulness,,,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",,,1857.9020702000707,1827.9063489000546,1880.371108100051,1874.181262500002,1806.4927256000228,1803.8606660000514,,,,,,,
068653,6,89,clear_in,clear_in,clear_ex,clear_in,Guilty,Mrs mitchell stole the clothes after removing packaging in the dressingroom as she is also prone to theft and then went abd bought the three grocery items she had to and quickly ran out of the place.,1880.3936913000653,,,239.9502823698601,,,,,60,,,,1914.7614071000135,1914.1569794000825,,,,,,,,,,,,,1944.770195200108,1980.7453867000295,1944.7619241001084,9,0,9,1,,,,,,,,,,,,,,,M1,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,Pate,,,,2026-04-21_11h58.03.704,,,Burglary & theft,Shoplifting clothing.,Larceny misdemeanor,,,,,,,,1,Propensity,,,"Eleanor Mitchell is accused of stealing a down jacket and a fleece cap from a Target store. Prosecutors say she removed the price tags and packaging in a changing room, then wore the jacket and cap while buying peanut butter, chocolate milk, and raisin bread at check-out.",,,1944.7619168000529,1914.7614152000751,1991.947252800106,1980.7454689000733,1914.156966800103,1880.3712904000422,,,,,,,
